Article Title,Article Content,Date,Location,Author
"Man attempts to burn wife, mother-in-law to death","A man in Mahottari district attempted to burn his wife and mother-in-law to death by dousing them in kerosene at Bhangaha Municipality-1 of Mahottari district, police said. The victims sustained critical burn injuries in the incident.According to the District Police Office in Mahottari, the alleged perpetrator Shankar Sada of Aurahi Municipality-8 in the district poured kerosene on his wife aged 35 and mother-in-law aged 65, on Saturday night. Deputy Superintendent of Police Prakash Bista said Shankar attempted to kill them after a heated family dispute.The critically injured mother and daughter were rushed to Provincial Hospital in Janakpur for treatment. The mother sustained serious burn injuries on her back, arms and left leg while her daughter sustained injuries on her chest, arms and legs.The provincial hospital referred the victims to Kathmandu as their treatment was not possible in Janakpur. “The victims are in critical condition. We referred both of them to the national capital as their treatment is not possible in Janakpur,” said Dr Rupesh Barma, who was involved in their treatment at the provincial hospital. According to Barma, the mother is expected to recover following treatment but the daughter's health condition is very critical.Shankar fled the scene soon after the incident. Search is underway to nab the perpetrator, said police.The perpetrator attacked the women while they were asleep at around midnight. The suspect set them on fire after dousing them with kerosene. He locked the door from outside and ran away soon after the crime.The women cried for help but the villagers did not hear them as it was raining heavily. Rajawati Devi, a neighbour, knew about the incident first and informed other neighbours. ""They were immediately rushed to Janakpur after the villagers knew about the incident,"" said Sana Kumari Sada, a relative of the victims who stays in another house in the settlement. According to her, there were no serious disputes in the family.Police recovered an alcohol bottle that the perpetrator used to bring kerosene from a nearby shop.According to the locals, Shankar and his wife went to the field nearby together on Saturday evening to collect fodder for the cattle. He brought the kerosene while returning from the field.Shankar was staying at his in-law’s house with his wife and mother-in-law after returning from foreign employment in Kuwait a year ago.","Published at : August 8, 2022",Dhanusha,Santosh Singh
Midday meal scheme in corruption controversy in Madhes districts,"Several community schools in at least two districts of Madhesh Province have not been able to resume the midday meal programme effectively post Covid-induced school closure.The scheme has been mired in controversy and charges of corruption and irregularities in its implementation. The government introduced the scheme with aims to ensure hunger does not keep students away from school.Mukesh Jha, the father of two children who attend Kabilasi Secondary School in Kalibasi Municipality Ward No 7 in Sarlahi, says his children were not given meals at school since the school reopened for the new academic year in May.He alleges that the principal of the school and employees of the municipality in collusion have misused the midday meal programme funds leading to irregular meals for the students. “The people’s representatives also know of this but remain silent,” he said.Parents of students attending community schools in Ishwarpur Municipality, home to 38 community schools, also accuse the local unit and the executives of the schools of misusing the funds.Dinesh Luitel, chief of the municipality’s education unit, said the midday meal scheme was halted in the schools for 15 days before the end of the last fiscal year on July 16. “We will resume the programme in mid-August after the summer holidays,” he said.Meanwhile, community schools in the northern part of Sarlahi have successfully restarted the scheme after a gap of almost two years.Balgovind Secondary School in Kabilasi Municipality Ward No.1 and Haripur Primary School in Haripur Municipality Ward No 8 have resumed the programme.The federal government provides Rs 15 per day to each student studying up to grade five in the province’s community schools through the local units. With this scheme, the government aims to provide nutritious diet to the children and control malnutrition in the province.The community school midday meal programme is being run in 42 out of 77 districts in the country. While the government manages the programme in 33 districts, the World Food Programme funds midday meals for the children of select schools in nine districts.Under the programme, the community schools should prepare nutritious foods for the children as per separate menus prepared by the Centre for Education and Human Resource Development, which mentions 60 different foods in its menu.In Rautahat, schools and local units were found to have withdrawn money for the midday meal programme which has remained suspended throughout the school closure period. According to the Auditor General's report for 2021, in the fiscal year 2019-20, Paroha Municipality spent more than Rs11 million on the midday meal programme; Fatuwa Bijaypur Municipality spent Rs9 million, Garuda Municipality Rs7 million, Durga Bhagwati Rural Municipality Rs 12 million; and Yamunamai Rural Municipality Rs7 million.Paroha Municipality, home to 21 community schools, reportedly distributed cash directly to the parents of the students rather than providing meals at the school. The Auditor General’s report states that the municipality disbursed Rs11.7 million for the programme in the fiscal year 2020-21.The midday meal programme was embroiled in controversy in Garuda Municipality with the then mayor of the municipality Innuray Yadav and deputy mayor Rangila Devi Jaiswal alleging each other of misuse of the programme funds.There are 23 community schools in this municipality, including seven secondary schools. According to Kanthamuni Jaiswal, the municipality’s incumbent mayor, the children of the school in the area were deprived of midday lunch for seven months. The programme was discontinued in mid-April last year and resumed in December. Nearly Rs 26 million budget allocated for the midday meal programme was frozen.The 58th annual report of the Office of Auditor General states more than Rs 48.7 million from the midday lunch programme has been withdrawn by the Paroha, Fatuwa Bijaypur, Garuda, and Yamuna municipalities of Rautahat district against the rules by forging paperwork.Bunilal Yadav, the then education coordinator of the Education Unit of Fatuwa Bijaypur Municipality, was also heavily criticised for withdrawing the lunch programme money when the schools were closed during the pandemic.","Published at : July 22, 2022",Sarlahi/rautahat,Om Prakash Thakur						 &
Monsoon means disaster in Madhes Province,"Every year during the monsoon, floods and inundations wreak havoc in Madhesh Province which comprises eight Tarai districts. Thousands of people face displacement, loss of lives and property due to the lack of preparedness by the authorities to control such water-induced disasters.In Saptari, a Musahar settlement in Hanumannagar Kankalini Municipality-4 is at high risk of floods as the Mahuli stream has started eroding the embankment. The 10 impoverished Dalit families of the settlement, who are living on encroached land, are living in fear of displacement as the government authorities and people’s representatives have not taken any initiatives to protect the settlement from the floods.“The settlement is being eroded by the Mahuli stream in the west and a small water outlet from the east. One house was swept away recently while others are at high risk. We are encircled by floods but nobody is concerned about our plight,” said Manju Devi Sada, a resident of the Musahar settlement.On Monday night, the area received heavy rainfall and the water level in the Mahuli stream increased, trapping the villagers inside the settlement. “The erosion is increasing day by day. The settlement will turn into a sandy bank within a few days if the stream and rivulet are not controlled immediately. We have nowhere to go if the floods displace us,” said Manju Devi. She urged the concerned authorities and the local unit to protect their settlement from flooding and erosion.According to Mauli Mandal, the ward chairman of Hanumannagar Kankalini-4, the flood waters flowing from the northern side last year eroded the area near the Musahar settlement and emptied into the Mahuli stream. He admitted that the settlement is at high risk of floods this year too.“The flood already swept away a house while others are at risk. Efforts are underway to control the floods and protect the settlement by installing hume pipes,” said Birendra Majhi, the mayor of Hanumannagar Kankalini. In mid-July last year, Chandiya village in Rajdevi Municipality-3 of Rautahat was inundated following continuous rainfall. Every single house in the village was submerged. The villagers left their houses and ran. Some people were injured when their houses collapsed.Jayram Shah recalls his house collapsing while his whole family was inside. “We nearly died. All of us suffered injuries,” said Shah. Every monsoon, Chandiya residents struggle to keep afloat and save themselves and their properties from floods in the Bagmati River. The floodwaters from the river enter the village every year resulting in floods and inundation. “Nobody can understand our situation except us. We suffer every year. The government does nothing to address our problem,” said Shah.There are about 200 households in Chandiya village and all of them have been displaced by monsoon disasters. A 44 km-long dam has been constructed with the help of the Government of India to prevent loss of property due to floods in the Bagmati River. All the displaced folks from Chandiya have to take shelter in the dam area every year. The villages bordering Chandiya, including the district headquarters Gaur, are living the same fate. The floodwaters from the Lalbakaiya and Bagmati rivers inundate the settlement during the monsoon and inundate 80 percent of the land every year. Three days ago, the district administration instructed the local units in the district to start preparing for water-induced disasters this monsoon. “We spend our days and nights worrying about how to save our lives and the lives of our family during the rainy season. We have been suffering for the past 29 years and it seems like the government does not want to listen to us,” said Pramod Das of Durga Bhagwati Rural Municipality-5.There are about 300 houses built in and around the dam area in the Bagmati River and all of them are at high risk of being submerged this rainy season. According to Chief District Officer Krishna Bahadur Shahi, the main problem of Rautahat has always been floods and inundation. The office has instructed all its local units to be prepared for water-induced disasters. According to the data of the District Police Office in Rautahat, 90 people have been killed in floods and inundation in different parts of the district in the last three years. Six people, including two women, have gone missing, about 70,000 households have been affected, 20,000 families displaced and over 400 cattle killed in the floods.","Published at : June 25, 2022",Rautahat & Saptari,Shiva Puri						 &
Malnutrition taking its toll in Parsa. Experts blame poverty and ignorance,"Seven-year-old Dil Kumari Pahari, a resident of Chandrapur Municipality-8 in Rautahat district, was taken to the Nutrition Rehabilitation Home at the Birgunj-based Narayani Hospital on June 14 in a critical condition. Dil Kumari, who belongs to the impoverished Pahari community, was diagnosed with severe malnutrition.“The child was found suffering from severe malnutrition due to a lack of nutritious food. Her body was swollen when she was brought to the Nutrition Rehabilitation Home. And there were problems in all her vital organs, except the kidney,” said Sarita Yadav, the chief at the Nutrition Rehabilitation Home. The girl, according to Yadav, weighed 22.7 kg when she was brought there. Dil Kumari was brought to Judibela Health Post by a local teacher who had gone to Phulbari settlement in Chandrapur as part of a school enrollment programme. The health post later referred the girl to the Nutrition Rehabilitation Home in Birgunj.The girl is receiving treatment at the paediatric unit of Narayani Hospital.“She is also suffering from anaemia. We gave her a blood transfusion. Her condition is gradually improving. We will keep her at the Nutrition Rehabilitation Home until she gets better and make provisions for nutritious food after she is discharged from the hospital,” said Yadav. According to her, victims of severe malnutrition like Dil Kumari may die if they do not get timely treatment.Dil Kumari’s father Aadu Bahadur, aged 65, has been languishing in the hospital as an attendant to his ailing daughter. He said his wife died three months ago due to stomach cancer.“I have three children, including Dil Kumari. We have just about 1,500 sq ft of land. What I grow in the fields is not enough to feed the family. I am old and jobless. So I am unable to provide nutritious foods to my children,” said Aadu Bahadur. According to him, he somehow manages to bring home rice that they consume with salt but he never feeds milk to his children. “Except for breast milk, my children have never tasted milk in their life,” he added.Malnutrition is a serious health challenge in Madhes Province mainly due to poverty and a lack of awareness among guardians regarding nourishing food needed for a child’s growth. The children of poor communities and Dalits are especially vulnerable to malnutrition in the province.“The main cause of malnutrition is a lack of awareness among the guardians. They are unaware of the importance of nourishing food required for the overall growth of the children. They do not take their wards to health institutions unless they fall ill seriously due to malnutrition,” said Yadav. According to her, most families in the province eat potatoes for vegetables which are low in nutrients. “People generally offer packaged foods like noodles and biscuits to their kids. Even the guardians who have the ability to provide nutritious foods to their children are found to be reluctant to provide nutritional foods like milk, yoghurt, egg and meat,” she said.According to Yadav, the nutrition home identifies malnourished children on the basis of the latest standard set by the World Health Organisation. As per the standard, the height of a newborn should generally be 50cm and it should increase by 25cm, 12.5cm and 12.5cm in the next three years, respectively.The Nutrition Rehabilitation Home in Narayani Hospital was established in 2006. Thirteen malnourished children from various districts of Madhes are currently undergoing treatment at the 10-bed nutritional home. As many as 170 children—88 male and 82 female—were brought to the Birgunj-based Nutrition Rehabilitation Home in the current fiscal year of 2021-22. Among them, nine are below the age of six months, 96 are between 6-24 months, 45 are between 25-60 months and 20 are above 60 months.","Published at : June 22, 2022",Parsa,Shankar Acharya
Youths taking up nature guide training,"Elisha Mulmi, a resident of Jitpur Simara Sub-metropolis-5 in Bara district, is a first year bachelor’s student at the Hetauda-based Institute of Forestry. The 19-year-old recently received a weeklong nature guide training conducted by the Parsa National Park. She took the training to gain practical knowledge about forests and nature, she said.“The training was an opportunity to get on-field information regarding natural vegetation and wildlife which is essential for an aspiring nature guide,” said Mulmi. Debi Magar had some free time after graduating from grade 12 so she too decided to join the training. The nature guide training has been a boon for the 19-year-old girl to utilise her leisure time and get the opportunity of learning new things. “I was free after passing grade 12. I received the nature guide training to learn new things about forest, wildlife and nature,” said Magar.Pujan Shrestha, aged 21, of Subarnapur in Thori Municipality-5 is another recipient of the nature guide training. He has always been very interested in the study of forests and wildlife since his early childhood. “I have a deep interest in working in the field of forest and wildlife. My father is a conservationist. The nature guide training has been a great opportunity for me. I plan to run a home-stay or a resort and work in the tourism sector,” said Shrestha, stating that the weeklong training fulfilled his ardent wish to watch nature and wildlife closely.Many youths like Mulmi, Magar and Shrestha are taking up nature guide training in Parsa. As many as 20 youths, including three women, received the training that was provided by the Parsa National Park last month. According to Tikaram Giri, one of the two trainers involved in the nature guide training, all the participants were below 35 years of age.“The trainees were very enthusiastic and participatory. We took the participants to the forests two times a day and provided field training. They closely watched wildlife and birds and learned to identify the footprints of various wild animals,” said Giri. According to him, the trainees were taught about their duties and responsibilities before they took up their jobs as nature guides.The Madhes Province government declared the Thori area of Parsa district as a tourist area a few months ago. Such training is expected to benefit the local youths. “The local people, mainly the youth, can run homestays or start a hotel business after receiving such training. Tourism entrepreneurship should not be confined only to Chitwan, particularly in Sauraha. The youths should be involved in tourism where there are prospects,” said Giri, claiming that the nature guide training was quite helpful in encouraging the youths interested in nature tourism. Parsa National Park, the country’s youngest national park, had provided similar training six years ago but almost all of the training recipients then did not involve themselves in tourism activities. According to chief conservation officer at the park Manoj Kumar Sah, the participants of the nature guide training were selected by the consumers’ committee of the park this time hoping that they will be involved in tourism-related activities. “The national park aims to promote tourism in the area by providing such training to aspiring tourism entrepreneurs and tourist guides. We plan to provide similar training next year too with the objective of enhancing the number of trained nature guides,” said Sah.","Published at : May 21, 2022",Parsa,Shankar Acharya
Mismanagement plagues Janaki Eye Hospital,"Last Friday, Manmohan Sah of Janakpur Sub-metropolitan City-8 visited the Janaki Eye Hospital, where he was examined by a technician instead of a specialist doctor.“There are two types of tickets in the hospital. If you pay Rs 50, you’ll have to wait in line for your turn to see the doctor. If you pay Rs 250, they fast-track the process and take you to a doctor immediately,” said 49-year-old Sah. “I got a ticket costing Rs 250 but when I was taken to the doctor’s cabin, a technician walked in and told me that the doctor was away so he would examine me. I was quite taken aback.”The hospital, which has been treating an average of 600 patients daily, is falling apart at the seams with everyday management of health services left unattended.The hospital has been operating without a chief administrator for four years, according to the hospital’s information department.The health institution has total designated posts for five specialist doctors but currently, only two positions are filled. Dr Ashish Bohara, who is also the executive director of the hospital, and Dr Amit Yadav are the only two specialist doctors at the hospital and in the absence of both, patients are left in the care of technicians.On Friday, a long queue had formed outside the ticket booth but both the doctors were absent. According to hospital sources, Bohara along with acting administrator Jitendra Singh had gone to attend a medical conference in Pokhara while the patients spent the entire day waiting for the doctors.Information Officer Rudal Prasad Sah was also on leave and Accountant Rajan Sah had gone to the bank when the Post reached the hospital on Friday.According to hospital data, a total of 125,000 patients have been receiving OPD services at the hospital annually. About 10,000 to 11,000 of them undergo cataract surgery, about 9,000 patients undergo Small Incision Cataract Surgery and about 2,000 patients go for Phacoemulsification procedure.The hospital is run by the Nepal Red Cross Society. A provision allows the central committee members of the Red Cross Society to appoint the chairman of the board of directors and the treasurer. In January 2021, UML leader Gangaram Yadav was appointed chairman and Sanjay Kumar Sah the treasurer.“Not a single meeting has been held in the last 16 months since the formation of the board of directors,” Sah, the treasurer, said. “The hospital is in a pitiable state.”","Published at : May 1, 2022",Janakpur,Shyam Sundar Shashi
Voters in Birgunj are perplexed as to who to vote for because of alliance politics,"Seventy-year-old Shuvan Dewan of Nagwa Gaon in Birgunj Metropolitan City has been exercising franchise for 52 years. By his age and the experience of participating in elections over the years, he always considered himself a conscious voter. He has been voting for Madhes-based parties every election since 2008, he says. But he is confused now.“The so-called big parties always undermined the Madhesis. And the parties that have their roots in Madhes have gone to join hands with them,” he said. “They promise one Madhes province of 22 districts, but they settle for eight. They promised Rs5 million for the kin of the martyrs of [political] movements but nothing happened. Now I wonder who to vote for and on what basis.”Dewan’s disenchantment stems from the Madhes-based parties’ decision to align with those forces against which they were once fighting. Also, Madhes-based parties’ failure to stick together to fight for the Madhes cause has left him disappointed.Currently, there are two recognised forces in Madhes Province—Janata Samajbadi Party and Loktantrik Samajbadi Party. Until August, they were one force, ultimately united having suffered several splits. The Janata Samajbadi is under an alliance with the Nepali Congress, the CPN (Maoist Centre) and the CPN (Unified Socialist). The other force in the coalition, Rastriya Janamorcha, has negligible clout in Madhes.The Loktantrik Samajbadi, on the other hand, has forged an alliance with the CPN-UML, whose leader KP Sharma Oli is largely viewed as an anti-Madhes politician. Manoj Sah, who is a devoted worker of the Nepali Congress, is upset with the party leadership for not fielding a mayoral candidate for Birgunj Metropolitan City. Sah said his morals do not allow him to vote for a candidate who is not from his party.As per an understanding among the coalition leaders, Janata Samajbadi’s Rajesh Man Singh and Imtiyaz Alam of the Congress are running for mayor and deputy mayor posts in Birgunj.Vijay Sarawagi, who won the mayoral race in 2017 from the then Sanghiya Samajbadi Forum (now Janata Samajbadi Party), has switched to the UML, seeking a second term in office. Loktantrik Samajbadi’s Purushottam Jha is the deputy mayor candidate as per the party’s electoral understanding with the UML. Sah says ideological lines in Nepali politics have been blurred, making it difficult for many loyal voters to decide who to vote for because of alliance politics.Madhes is the second largest province in terms of the number of voters, with a total of 3,331,170 registered voters, according to the Election Commission.  Deepak KC/TKPBirgunj is a major business and industrial hub of Madhes. Bordering India, it is a politically significant city, a hotspot of the Madhes Movement. Birgunj is a microcosm of Madhes.Birendra Sah, a lecturer of sociology at the Birgunj-based Thakur Ram Multiple Campus, said this is the first election since 2008 when the Madhes Movement is not in focus.The 2007 Madhes Movement, spearheaded by the leaders of the two Madhes-based parties, largely contributed to the country’s adoption of a federal system.“The movement made the people politically aware but the leaders used it as a tool to fulfil their petty interests,” said Sah. “Several issues remain unaddressed. Madhes-based parties, however, failed to remain united.”According to Sah, there is no ideological base in any of the Madhes-based parties now and no party has any long-term plans.“Party leaders are forming alliances with those forces which were their foes once,” Sah added. “Which party should the people choose? Whose agenda is correct? The voters in Madhes are confused.”The Madhes-based parties in 2017 had even decided to boycott local elections because they had their objection to the constitution, which they and some other sections of the society said further marginalised the downtrodden. It was because of their protests that the 2017 local elections were held in three phases.When Madhes-based parties were leading protests in the lead up to the constitution promulgation, they received an overwhelming support from the people of the entire region.But over the years, observers say, Madhes-based parties joined hands with forces like the Congress, the Maoist Centre and the UML, who they once charged with writing an anti-Madhes constitution.Sah, the lecturer, says parties have failed to make the voters understand why these local elections are being held.“The parties have imposed candidates on the voters, giving them little room to make a choice,” Sah told the Post. “Those who have money and influence stand a better chance of winning even if they don’t have any agenda. How can democracy strengthen when voters are forced into elections in such a way?”There are a total of 136 local units in the eight districts of Madhes Province, where Birgunj is the only metropolitan city. There are three sub-metropolitan cities, 73 (urban) municipalities and 59 rural municipalities.Madhes-based parties held sway in the province during the 2017 elections, while the Congress had traditionally enjoyed clout in the region, with the UML not having much influence. The Madhesi parties this time are not only divided but have aligned with different forces.In the 2017 local polls, the Janata Samajbadi and Loktantrik Samajbadi had won 26 and 25 local units in the province. The Congress had won 40 local units, the Maoist Centre 21 and the UML 18. The remaining six units were won by some fringe forces.Chandra Kishore, a journalist and writer based in Birgunj, says the Madhesi people, Madhesi agenda and Madhesi parties should be understood differently.“Even though the parties are divided, the agenda of the movement raised by the Madhesi people is still relevant,” Chandra Kishore told the Post. “The election result of 2017 was influenced by the current of the Madhes movement. Since the state was refusing to talk to dissenting forces, they wanted to take the movement forward through elections. But that’s not the case anymore. Hence, alliances were formed.”Due to alliance politics, parties have been forced to support candidates from other parties.“The coalition’s electoral alliance suddenly became strong largely because of the country’s internal politics, geopolitics and the alliance partners’ goal to increase the number of seats in the House of Representatives,” said Chandra Kishore.The UML and the Maoist Centre had swept the 2017 national elections as they had fought under an alliance. The parties merged in May 2018, but the merger was invalidated in March last year. Then in August last year, the Madhav Nepal faction split from the UML to form the CPN (Unified Socialist).The UML, however, continues to remain the largest party in the House of Representatives. The Congress, the Maoist Centre and the Unified Socialist now want to defeat the UML, hence they have decided to stick together and have roped in the Janata Samajbadi and Rastriya Janamorcha in the alliance too.Chandra Kishore believes alliance politics has made three kinds of impacts on Madhes politics.“It has put the brakes on the continuity of Congress-Madhes relations. Despite Birgunj and Janakpur being its strongholds, the party has decided to cede mayoral posts to the Janata Samajbadi,” he said. “While the UML seems to have significantly increased its base in Madhes, Madhes-based parties that emerged as encouraging forces riding on the Madhes movement are disintegrating.”","Published at : May 1, 2022",Birgunj,Tufan Neupane						 &
Chandrapur adopts door-to-door campaign to make Dalit children attend school,"In a bid to include Dalit children in the school system, Chandrapur Municipality in Rautahat is conducting a door-to-door campaign wherein teachers from various community schools visit Dalit households to encourage the guardians to send their wards to school.The school enrollment programme is a nationwide campaign launched by the Ministry of Education, Science and Technology with an objective to provide school education to all children of school-going age. The campaign generally starts in the last week of April every year by organising awareness programmes to bring all the children under the school system. But due to the Secondary Education Examination and local elections, the campaign was pushed back to mid-May in several districts this year.The District Education Office, Rautahat, has plans afoot for the campaign to send teachers to Dalit households in two weeks to encourage parents to send their wards to school.Rajesh Chaudhary, principal of Dumriya Secondary School, in Ward No 9 of Chandrapur Municipality, says it is necessary for the programme to see successful results in the Dalit community since the number of Dalit children in schools is not encouraging.Although the school enrollment campaign started off as a noble undertaking by the government to bring every child into the school system, the campaign has not seen much success in the Dalit communities, says Anup Majhi, a central member of the Nepal National Musahar Association.“The number of children of school-going age is more than 5,000 in Rautahat but not even a quarter of them go to school,” said Majhi. “There are 2,056 households in the Musahar community in the district but hardly anyone is literate.”The low enrollment number of Dalit children in schools can be attributed to parents’ inability to afford education for their children, clubbed with a lack of interest from school management, says Majhi.The population of Musahars in the district is 13,796 and only 635 people out of the entire population are literate, according to Majhi. Of which, as many as 3,000 are still out of the school system.“Specific plans and policies should be put in place to ensure every Dalit child attends school because it’s not enough to just look at the number of students enrolled,” Majhi added. “This is the only way to ensure the next generation of the Dalit population is not deprived of opportunities for a lack of education.”Dumriya Secondary School plans to extend financial support to Dalit families who have not been able to send their children to school because of financial constraints. “We want to ensure that children are not forced to leave school to support their families,” said Chaudhary, the principal.The Education Unit of Chandrapur Municipality says that every possible step would be taken to reach Dalit settlements with the campaign.According to Dipendra Mandal, education branch officer at the municipality, even though there are schools nearby Dalit settlements of Dom, Musahar and Chamar communities, children from these communities do not attend classes regularly even if they are enrolled. “When parents don’t force them to go to school, they don’t make the effort to attend classes and instead spend their days idling around,” said Mandal. “Apart from enrolling Dalit students in schools, we have to create a conducive environment at home and school.”Ram Binay Singh, head of the Education Development and Coordination Unit in Gaur, said that there are around 400 basic schools in the district’s 18 local units.Dalit children from all local units including Gujra, Gaur, Garuda, Brindaban, Ishnath and Katahariya municipalities go to school but in small numbers.Although the government has promised to provide assistance to the extremely poor, Dalit students have not been able to access the concessions provided under the education campaign, according to Mandal.In most Dalit households with poor financial standing, education features last on the priority list. The foremost concern for the entire household is making ends meet on a daily basis. Rajkumar Majhi from Jugauli, Gujra Municipality-8, for instance, has two sons and two daughters, all of whom are of school-going age but he says he doesn’t have the money to send them to school. “Whatever little money I make, I spend it on fulfilling my family’s basic needs,” he told the Post. “I would send my children to school but first, I have to keep them from starving.”According to Binod Jaiswal, the acting chief administrative officer of Gujra Municipality, none of the children in Musahar settlement of Jugauli in Ward No 8 goes to school. There are 70 Musahar households in the settlement and around 100 children of school-going age, according to Jaiswal. “This time the office will make more effort to have all of those children enrolled in schools,” he said.","Published at : April 30, 2022",Rautahat,Shiva Puri
Timber smuggling resumes in Sarlahi,"The felling and smuggling of sal trees goes rampant in several forests of Sarlahi, a Tarai district of Madhes Province.Janakinagar collaborative forest in Hariharpur Municipality-1 has become a safe haven for timber smuggling in the past few years. According to the local people, timber smuggling goes unchecked due to the lack of effective patrolling in the forest area. “It is apparent that some local people are also involved in the smuggling of timber in collusion with the office bearers of the forest committee and the employees of the division forest office,” said a local resident of Hariharpur-1, who asked to stay anonymous.The smugglers had cut down dozens of sal trees and smuggled the timber in the months of October and November last year. The felling and smuggling of timber came to a halt for a few months following the coverage of the issue by various news media outlets, including The Kathmandu Post. “However, the felling and smuggling of trees has resumed in Janakinagar collaborative forest. The concerned authorities seem indifferent to controlling the timber smuggling,” said the local.Janakinagar collaborative forest spreads across 1,200 hectares of land. The smugglers cut down green sal trees, log them and smuggle them using bicycles and tractors. More than 100 sal trees have been cut down in the forest in the past few months.“Patrolling should be intensified in the forest area to control timber smuggling,” said another local of Ghurkauli, who also wished his name to be withheld. “But the division forest office and forest consumers’ committee are indifferent to strengthening security in the area. The security team patrol the forest occasionally and that too when the local people pressurise them.” The office-bearers of Janakinagar collaborative forest admit that there has been an increase in timber smuggling in the forest of late.They, however, claim that smuggling cannot be controlled by the forest office alone.Ram Bishwas Raya, the chairman of Janakinagar collaborative forest, said that the forest office, forest committee and the local people should work hand in hand to control deforestation and timber smuggling. According to him, the forest has just three armed forest guards and they are not enough to patrol the forest regularly.“We requested the division forest office and federal forest ministry several times to mobilise more armed forest guards for patrolling but our requests remain unaddressed. The forest committee alone cannot control the illegal felling and smuggling of trees,” said Raya. According to the sub-division forest office in Janakinagar, there are just eight employees at the office. “Three employees have been mobilised in the Chure forest area while five are deployed in the forests situated south from the East-West Highway. With such limited resources, forest patrolling is not effective,” said Subas Sah, chief at the sub-division office. The division forest office claims that the people of various settlements near the forest are involved in timber smuggling. “The forest office recovered timber of illegally felled trees while raiding the area at different times,” said Santosh Jha, chief at the division forest office. The security personnel seized smuggled timber of sal trees felled in Janakinagar collaborative forest. Similarly, an Armed Police Force (APF) team seized 57.4 cubic feet of timber hidden in the forest area on Thursday. According to the APF base camp in Hariwan, the seized timber worth around Rs 300,000 was handed over to the division forest office for investigation. Similarly, the APF seized a tractor loaded with 36.76 cubic feet of smuggled timber on Saturday.According to Jha, the forest office has recently asked for a clarification from the forest consumers’ committee of Janakinagar collaborative forest regarding the felling of trees and timber smuggling.","Published at : April 6, 2022",Sarlahi,Om Prakash Thakur
Captive elephants being smuggled to India through Parsa,"Acting on a tip-off, a team of security personnel from the Area Police Office in Pokhariya detained three people with two captive elephants from Pakahamainpur Rural Municipality-5 in Parsa district on Saturday.Animal rights activists and investigation officers claim that the elephants were being smuggled to India from Sauraha, a tourist destination near Chitwan National Park.According to the District Police Office in Parsa, Apharoj Alam, 35, of Pakahamainapur-5 and Budiram Mahato, 60, and Raju Kumal, 40, of Bharatpur Metropolis-18 in Chitwan district were arrested on the charge of smuggling the captive elephants. The preliminary police investigation shows that Alam is the smuggler while Mahato and Kumal are the mahouts.“Our investigation has revealed that Alam brought both the elephants from Chitwan. He kept the jumbos in Parsa for the past one year waiting for a suitable time to cross the border. We caught them before they could cross into India,” said Deputy Superintendent of Police Om Prakash Khanal. According to him, the trio were arrested as domesticating elephants without permission and trading them is illegal in Nepal. An elephant is traded at around Rs 1 to 3 million in India, he added.Police handed over the suspects and the two elephants to Parsa National Park on Saturday. According to Santosh Bhagat, the information officer at Parsa National Park, the Division Forest Office in Parsa has been given the responsibility to investigate the case.“The elephants were taken under control outside the buffer zone of the national park. So we have given the responsibility of investigating the case to the Division Forest Office in Parsa,” said Bhagat.Trading of elephants has been banned by the CITES (the Convention on International Trade in Endangered Species of Wild Fauna and Flora) and the National Parks and Wildlife Conservation Act, 1973. The CITES, which is a global agreement among governments to regulate or ban international trade of species under threat, has enlisted Asian elephants in Appendix I.Tourism entrepreneurs in Sauraha raise captive elephants to use them for safaris and earn money. As the tourism industry was hit hard by the Covid-19 pandemic, these elephant owners were at their wit’s end since their income had come down to zero but their expenses remained the same. “The captive elephants, mainly the old and diseased, are taken to India and sold. We informed the police when we got to know that Alam and his men were taking the elephants to India for sale,” said Shristi Singh Shrestha, an animal rights activist. “We were informed that Alam was planning to smuggle two other elephants as well. We are working to check the possible smuggling of the other elephants.” Shrestha, who has been working for animal rights for the past decade, said that captive elephants from Chitwan are being smuggled to various places of India through Parsa. “Elephants are still being used in various temples and religious functions, including weddings, in India. We work in coordination with animal rights activists in India to keep a check on elephant smuggling,” said Shrestha.According to Shrestha, there are around 100 private captive elephants in Sauraha. She said some elephant owners started selling their elephants as tourism came to a standstill in 2020 because of the pandemic. The government authorities started registering private elephants in Sauraha a few months ago. However, Shrestha claims that around a dozen captive elephants are unaccounted for.“Those unaccounted elephants might have been smuggled to India or kept hidden to be smuggled later,” said Shrestha.","Published at : March 29, 2022",Parsa,Shankar Acharya
