Article Title,Article Content,Date,Location,Author
Flow of returnees increases but testing goes down,"On September 30, a group of five migrant workers reached Jamunaha border point in Nepalgunj from India, seeking entry into Nepal. The health workers deployed at the border point ran antigen tests on them. One of the returnees tested positive for Covid-19 but the group was still allowed to enter Nepalgunj.Health workers deployed at the border points in Lumbini Province run antigen tests on Covid-19 suspects and those with no proof of vaccination but there are no restrictions on those testing positive for Covid-19. Like the youth who tested positive on September 30, most walk across the border and into busy markets without adopting any health safety measures, said one of the security personnel deployed at the Jamunaha border point in Banke district. Every day, 1,500 to 2,000 migrant workers from India are entering Nepal from the border point, according to the record kept by the security personnel at the border. The sheer volume of people entering Nepal through the border point has made it difficult to run tests on each individual crossing the border, says Chiranjibi Gyawali, a health worker deployed at the health desk in Jamunaha. “We provide consultations to the infected and send them home with suggestions to stay in isolation. It is not possible to test everyone. We run tests only on those suspected of having Covid-19,” Gyawali told the Post. Until August 26, the Nepal Red Cross Society had deployed ambulances to carry Covid-19-infected individuals to their respective districts from the border point.“But the agreement between the Red Cross and the District Covid-19 Management Centre has ended. These days, Covid-19-infected individuals are free to go home without any restrictions,” said Gyawali, adding that he has been informing the concerned stakeholders about the situation but to no avail.At the Krishnanagar border point in Kapilvastu, 300 people cross into Nepal every day, according to the data kept by security personnel at the border.Mayor of Krishnanagar Municipality in Kapilvastu Rajat Pratap Shah says the health desk at the border point operates from 8am to 6pm every day. “Health workers at the desk take the body temperatures of returnees and inquire about their health condition. They also run antigen tests on Covid-19 suspects. Then the returnees are free to enter Nepal,” he said. “There are no quarantine measures for returnees who could be possible carriers of the virus.” According to him, the municipality will soon start deploying health workers to the border point on night shifts.In Rupandehi, the District Health Office is preparing to expand antigen testing at Sunauli border point. Dr Rajendra Giri, chief at the District Health Office in Rupandehi, says his office is planning to expand testing at the border since the flow of returnees for the upcoming festive season has increased in recent days. Until a few weeks ago, as many as 160 antigen tests were being conducted on people entering Nepal through the border point but now the number has dwindled to 50 despite the increasing flow of returnees.The isolation facilities set up near the Sunauli border are almost empty.According to Rishiram Tiwari, the chief district officer of Rupandehi, the returnees who test positive for Covid-19 are sent to their destinations in coordination with the respective local units. “We have a vehicle on standby near the border point. With the assistance of the Nepal Red Cross Society, we send Covid-19-infected returnees to their homes in the vehicle,” said Tiwari.According to the District Health Office in Rupandehi, out of 576 people who underwent antigen testing at the Sunauli-Belahiya border point, only two tested positive for Covid-19 in the past week. Krishna Prasad Aryal, the inspector at the Armed Police Force border outpost in Danda, said that while it is mandatory for foreigners seeking to enter Nepal to furnish a Polymerase Chain Reaction test report, it is not the case for Nepali returnees.Meanwhile, in Kanchanpur, the isolation facility set up at the Community Health Institute in Mahendranagar is still in operation. Returnees entering Nepal through the Gaddachauki border point are sent directly to the isolation facility if they test positive for Covid-19. Currently, 11 people are staying at the facility.According to the District Health Office in Kanchanpur, an ambulance of the Mahakali Provincial Hospital is being used to carry the infected people from Gaddachauki border point to the isolation facility. “Some of the infected go home after staying at the isolation facility for 14 days while others who prefer home isolation are sent home on the recommendation of the concerned local unit,” said Siddaraj Bhatta, the public health inspector at the health office. Of late, the number of people returning home from India is on the rise, as Dashain, a major Hindu festival, is round the corner. According to the security personnel deployed at Gaddachauki border area, around 700 people enter Nepal through the border point on a daily basis. A total of 788 people entered Nepal through Gaddachauki on Saturday. Health workers conducted antigen testing of 756 people; of them, one tested positive. Similarly, a total of 424 people entered Nepal through the Gauriphanta border point in Kailali district on Saturday. The health workers conducted antigen tests on 225 people. No one tested positive. On the other hand, an isolation centre has been set up at Urma in Dhangadhi Sub-Metropolitan City-15 for the returnees infected with Covid-19. According to Dinesh Thakulla, in-charge at the health desk set up at Gauriphanta border point, out of 1,000 people who underwent antigen testing in the past week, not a single person tested positive for Covid-19.“More than 500 people cross the border point on a daily basis. We are unable to conduct testing on all returnees due to a lack of manpower and other resources,” said Thakulla.(With inputs from Bhawani Bhatta in Kanchanpur, Mohan Budhaair in Kailali, Manoj Paudel in Kapilvastu and Madhav Dhungana in Bhairahawa.)","Published at : October 4, 2021",Nepalgunj,Rupa Gahatraj
Government policies fail to reduce infant mortality rate in Palpa,"Various plans and policies aimed at reducing infant mortality rate in Palpa have failed to bear results with the number of infant deaths this fiscal year surpassing that of preceding years. In the fiscal year 2020-21, 22 infants in the district died within 28 days of their birth. According to the data of the District Health Office, 4,601 children were born in the fiscal year 2020-21. In the fiscal year 2019-20, out of 5,322 new births, 11 infants died within 28 days while nine out of 5,637 infants died within 28 days in the fiscal year 2018-19, the record of the District Health Office showed.According to the District Health Office in Palpa, the number of infantile deaths has increased across the district in the last four years despite several programmes implemented at the local and district levels to save mothers and babies.The government has been running the Suaahara Programme, one of the initiatives of the federal government that aims to improve the health and nutritional status of women and children to lower maternal and infant deaths, in Palpa for the last six years. The programme spends Rs 10 to 15 million every year for safe motherhood and infant care. Postpartum women and their newborns get nutritious food among other things for 1,000 days after delivery under the programme. However, such efforts have not been effective mostly because the budget allocated for the government programmes have not been utilised properly, according to Chitrabali Ram Suwal, a civil society leader in Tansen, the district headquarters of Palpa. “Every year, the District Health Office in Palpa and other organisations spend millions on safe motherhood and child care programmes. But the allocated budget is misused,” said Suwal. “The budget is allocated to reduce maternal and infant deaths, eliminate malnutrition and increase food security and nutrition level in both mothers and their children. But the ones responsible for the implementation of the programmes use the money on conducting inspections, training, seminars and on allowances, which do not benefit the target group.” Om Prakash Panthi, information officer at the District Health Office in Palpa, agrees that the programmes have failed to bear results in the district.“The number of infantile deaths has been increasing in Palpa over the years. This brings the effectiveness of various programmes introduced to reduce infant mortality rate and boost maternal health into question,” Panthi said.According to him, the District Health Office spent over Rs 3 million last year on providing training on safe motherhood to health workers at local health posts and hospitals. “We are conducting various programmes to curb infant mortality rate and promote safe motherhood and child care,” said Panthi. “The training and workshops were conducted to educate health workers on safe motherhood policies but the effort failed to show results at the grassroots level.”Bishnumaya Gaha, a health volunteer of Phek in Ribdikot Rural Municipality, believes that if the country is to achieve success in eliminating infant and maternal mortality rate, it must first eradicate child marriages which are still prevalent in the rural areas.“One of the contributing factors to the rising infant mortality rate in Palpa is the authorities’ failure to stem child marriages, especially in the rural parts of the district,” said Gaha. “Child marriages are still prevalent in the district. When teenagers become mothers, it affects the overall health of the mother and her newborn.” According to her, rather than conducting training and seminars for the health workers, the authorities should launch awareness programmes at the local level that will reach people’s doorsteps. “If infant mortality rate is to be improved, it is imperative to sensitise the local people about the repercussions of child marriage and its long-lasting impact on the mother and the child’s health,” said Gaha.Sunil Adhikari, chief at the Health Unit of Ribdikot Rural Municipality, says children of teenage mothers die within a few days of their birth. “The health condition of mothers also gets worse after delivery. That’s why awareness programmes should be launched at the community level to save both mothers and children,” Adhikari said. Purbakhola Rural Municipality says it has been taking active steps towards reducing maternal and infant mortality rate by conducting regular health check-ups of pregnant and postpartum women as well as infants, according to Mohan Dhakal, chief at the Health Unit of the rural municipality.According to the National Demographic Health Survey of 2016, of every 1,000 live births, 21 babies die within a month in Nepal. The survey also shows that for every 100,000 births, 229 women die during or after childbirth. Nepal had previously reduced the maternal mortality rate from 539 in 1996 to 239 in 2016—for which the country received the Millennium Development Goal award.","Published at : September 27, 2021",Palpa,Madhab Aryal
Gabhar residents in Banke terrorised by tiger attacks,"The residents of Gabhar settlement in Raptisonari Rural Municipality-1, Banke, have been living in abject terror for the past few days as tigers from Banke National Park have started entering human settlements.On September 12, a 45-year-old man of Gabhar was attacked and dragged into a nearby forest by a tiger. His body was recovered the next day.The same day, a tiger pounced on a cow grazing on the premises of a local community school in Gabhar. The tiger was chased away by the villagers.“The residents of Gabhar, Kusuma and Sauri among other settlements near the national park forest are terrified. The concerned authorities have not taken any concrete initiatives to protect the settlements from tiger attacks,” said Chandra Bahadur Oli, the chairman of Raptaisonari Ward 1.The settlement of Gabhar is around 100 metres from the Agaiya-Kusum road along the East-West Highway. The local residents, who have long since suffered from tiger menace, demand that the authorities concerned take necessary steps to protect the settlements from wildlife attacks.Last week, 37-year-old Kaushila Khatri of Gabhar had gone to a nearby forest to graze her cattle when a tiger attacked one of her goats. She escaped the site but has been terror-stricken ever since. Khatri hasn’t left her house since the incident, locals say.According to chairman Oli, tigers are seen roaming around the highway, leaving the local residents in a state of anxiety. A tiger attempted to pounce on a moving motorcycle in the area on Tuesday, he added. Kaishila Khatri, 37, of Gabhar, says children in the area are frightened to step out of their houses due to fear of tiger attacks. “We have been requesting the park administration to take the necessary initiatives to prevent tigers from entering human settlements. But the concerned authority does not pay heed to us. Security personnel arrive in our village only when people die in wildlife attacks,” said Khatri. Three days after the September 12 tiger incident, the Banke National Park took initiatives to take control over a man-eating tiger. “On Wednesday, two elephants were mobilised to search for the tiger. We have also set a trap and installed sensor cameras in two different places to monitor the tiger’s movement,” said Shyam Kumar Sah, chief conservation officer of Banke National Park. “Nepal Army personnel have also been mobilised to provide security in nearby settlements.”According to the data of the national park, the park is home to 21 tigers as per the recent census. Until now, three people have been killed in separate incidents of tiger attack in the area. “The haphazard construction of settlements near forest areas has given rise to human-wildlife conflict. The local population should move their settlements from the forest areas to avoid such incidents,” Sah said. Dhani Kumari Khatri, vice chairperson of Rapti Sonari Rural Municipality, agrees with Sah. He says forest encroachment is one of the main reasons behind the rising incidents of human-wildlife conflict.“We are discussing with the concerned stakeholders to shift settlements near forest areas to safer locations. This is the only way we can minimise human-wildlife conflict,” Khatri said.","Published at : September 22, 2021",Kathmandu,Madhu Shahi
Man killed in tiger attack at Banke National Park,"The body of a man killed by a tiger on Sunday night was recovered on Monday morning near Banke National Park. According to the locals, the man, identified as an Indian national, was attacked and dragged into the forest area by a tiger at Kusum Gabhar, Rapti Sonari Rural Municipality-1 in Banke.Shyam Shah, Chief Conservation Officer of Banke National Park said park had alerted the locals about the movement of tigers captured on camera at Purbi Gabha.""The deceased was attacked in the national park region,"" said Shah. There are as many as 21 tigers in Banke, according to the national park.","Published at : September 13, 2021",Nepalgunj,Thakur Singh Tharu
Flood sweeps away vehicle killing all four passengers,"Four people died after the car they were travelling in was swept away by a flood at Sisnekhola in Dang on Wednesday night.Chief District Officer Ram Bahadur Kurumbang informed that the car was enroute to Ghorahi from Nepalgunj when it was hit by a flood at Sisnekhola in Gogli in Ghorahi Sub-Metropolitan City. According to the District Police Office, the bodies of two of the women passengers were recovered soon after the incident last night while the bodies of two other women were recovered from Beluwa, 3-km downstream from the incident site, on Thursday morning. “The vehicle’s 43-year-old driver of Ghorahi-15 sustained a broken leg and is receiving treatment at Ghorahi-based Rapti Academy of Health Sciences,” informed DSP Mukunda Prasad Rijal, spokesperson at District Police.","Published at : September 2, 2021",Dang,Durga Lal KC
Dakhakwadi residents struggle to keep sandalwood smugglers at bay,"Local farmers of Dakhakwadi in Pyuthan Municipality-1 are having a tough time protecting their sandalwood trees from smugglers.“Smugglers enter the sandalwood grove at night to steal the trees,” said Gobinda Pokharel of Dakhakwadi. Two of his sandalwood trees, approximately 35 years old, were stolen from his field on August 6 and August 9 respectively. “I took great care of those trees over the years. These trees are our only source of income and we haven’t been able to save them from being stolen.” Pokharel has around 10 sandalwood trees in his field, which is around two kilometres from his house. “My field is near the forest. It’s not possible for us to guard the field throughout the night,” he said. “We have asked the local authorities to look into the matter and provide security in the area to control theft.” According to him, he has incurred a loss of approximately Rs 150,000 after two of his sandalwood trees were stolen. Dakhakwadi is considered a pocket area of sandalwood groves. There are around 150 households and each household has 10-12 sandalwood trees on average. According to the local people, more than a dozen sandalwood trees were stolen from the area in the past six months.“Thieves cut down our trees and take away precious wood at night. If this continues, there won’t be any sandalwood trees left in the village,” said Narayan Dhami of Dakhakwadi. He also recently lost his 30-year-old sandalwood tree to smugglers.According to Dhami, the local people have filed complaints at the District Police Office and the Division Forest Office about the theft on numerous occasions but neither of the offices has so far taken any concrete initiatives to address their issue. “We have filed complaints at the Division Forest Office to find the culprits involved in this illegal trade. We have also requested the authority to secure our trees,” Dhami told the Post.In February this year, 15 sandalwood trees were stolen from the fields of Dakhakwadi in a single night. According to local residents, the stolen sandalwood trees were worth Rs 1 million market value. Currently, sandalwood is priced at Rs 7,000 per kilo in the market. The last reported theft of sandalwood trees in Dakhakwadi was seven to eight years ago, say local residents. Since then, there had been no such incident until February. Incidents of sandalwood tree theft have become a regular occurrence now. “We don’t know who the smugglers are since they’ve never been caught,” said Gir Bahadur Dhami, a resident of Dakhakwadi. “The smugglers made away with two of my sandalwood trees in February.”With no means to stop the trees from being stolen, Dakhakwadi residents have started cutting down premature trees in order to sell them for whatever little profit they can make. Sandalwood trees can be felled only after taking permission from the Division Forest Office in Pyuthan. A few months ago, the Division Forest Office arrested three individuals on the charge of smuggling red sandalwoods from the district. Deepak KC, assistant forest officer at the Division Forest Office in Pyuthan, said, “None of the individuals had received permission to cut down sandalwood trees in Pyuthan. However, 172.93 kilograms of illegal sandalwood have been seized from various parts of the district.”","Published at : August 31, 2021",Pyuthan,Shamsher Bikram GC
Liwang-Jalajal road project left incomplete,"A road project linking Jaljala with Liwang, the district headquarters of Rolpa, has been left incomplete even after 10 months of the project deadline.Rautaha/Harihari JV Construction Company was awarded the contract for the construction of the 37 kilometre-long Liwang-Jaljala road in the fiscal year 2016/17 with an agreement to complete the project within three years. In the fiscal year 2020, the Division Road Office in Pyuthan had extended the deadline by six months, as the road construction was left incomplete. The extended deadline was over in October last year but the project is nowhere near completion. “The contractor is yet to complete the road project despite our repeated requests,” said Hemanta Roka, an engineer at the division office. He said the office would take action against the contractor soon.Jaljala, a religious and a tourist destination in the region, attracts a large number of people from Rolpa and neighbouring districts every year. Visitors to Jaljala have been greatly affected due to the delay in the road project’s completion. The local people are hopeful that the completion of the project will promote tourism in the region.Man Bahadur Khatri, chairman of the Contractors’ Association of Rolpa who is also the ward chairman of Rolpa Municipality-10, said that the construction of the Liwang-Jaljala road had been delayed, as the main contractor assigned petty contractors to construct the road. “The road project could not be completed on time because the main contractor hired petty contractors for the construction work. The people’s representatives and the local residents have pressured the contractor time and again to complete the work but to no avail,” said Khatri.Rautaha/Harihari JV Construction Company, the contractor company, handed over the responsibility of the road construction to three contractors—Dambar Batha, Lal Bahadur Gharti Magar and Tul Bahadur Khadka, according to Hari Raut, a representative of Rautaha/Harihari JV Construction Company. “Tul Bahadur Khadka was later replaced by Khatak Bahadur Khatri as one of the petty contractors,” Raut said.Meanwhile, the petty contractors involved in the project claimed that around 80 percent work on the road has already been completed. The dispute between the main contractor and petty contractors has also contributed to the delay in the road project, they say. “Around 28 kilometres of the road have already been constructed. We could complete all 35 kilometres if the construction company provided us with funds on time as per the agreement. The company is yet to provide us Rs 9.5 million amount,” said Khatak Bahadur Khatri, one of the petty contractors.Besides complaints about the delay in the project’s completion, the local residents have also started questioning the quality of the road. “The road has not been constructed as per the project agreement. The authorities concerned should monitor the construction work and take steps accordingly,” said Man Bahadur Khatri, chairman of the Contractors’ Association of Rolpa.According to Chief District Officer Nabaraj Sapkota, some local residents have filed complaints at the district administration office about the delay in the project’s completion and the inferior quality of the Liwang-Jaljala road. “We have been requested to check whether the road has been constructed as per the agreement or not. We will soon start monitoring the road project,” said Sapkota.","Published at : August 29, 2021",Rolpa,Kashi Ram Dangi
Three missing in landslide in Nawalparasi (East),"Three people have gone missing in a landslide at Hupsekot Rural Municipality of Nawalparasi (East) on Friday.Chief District Officer Manmaya Pangeni informed that a house owned by one Hasta Bahadur Pulami at Charghare Tole in the rural municipality was buried under the landslide. “Pulami’s wife and two daughters have been missing in the landslide,” said Pangeni. “Police personnel are conducting a search and rescue operation at the incident site.""Likewise, floods swept away a diversion constructed along the Mahendra Highway at Thumsi jungle in Gaidakot on Thursday night affecting vehicular movement.The Area Police Office in Gaidakot informed that the diversion was swept away around 8pm last night. The diversion will likely be repaired by Friday evening, said police. In Nawalparasi (West), at least 200 houses have been inundated after floodwaters from various rivers entered several settlements. According to the district administration, continuous rainfall since last night has increased the water level and the speed of water flow in Jharahi, Turiya and Panbhar rivers in the district.The floods have also caused damage to hundreds of hectares of arable land. Around 100 houses have been inundated after floodwaters from Jharai river entered the settlement in district headquarters, Parasi. Shops and factories have also sustained damage in the Main Bazar area due to the inundation. Likewise, over 100 houses in Sunwal, Bardaghat, Sarawal, Pratappur and Susta areas have also been waterlogged. District Traffic Police Chief Dipesh Bashyal informed that vehicular movement has been affected after the floods damaged a diversion along the Mahendra Highway and Turiya Bridge at Sunwal.Chief District Officer Dharmendra Mishra informed that security personnel have been deployed to the flood-affected areas. “We have sent security personnel to conduct rescue operations in flood-affected areas,” said Mishra.","Published at : August 27, 2021",Nawalparasi (east),Narayan Sharma
Multiple landslides leave Pyuthan’s Damri at high risk,"Ker Bahadur Thapa of Damri has been restless after a massive landslide erupted just below his house in Naubahini Rural Municipality-5, Pyuthan, on Wednesday. His house has developed cracks and can collapse any moment now. All five members of his family are taking shelter in an animal shed nearby.“It rains almost every day. The threat of landslides is very high. We are terrified that our house will be swept away,” said Thapa. According to him, the landslide swept away around 20 ropanis of his land. “We cannot return home due to fear of landslides and my land is gone. Where should I go now?”Besides Thapa’s house, around 70 other houses of six settlements in the Damri area are at risk of landslides. Daljita Gharti, a resident of Damri, left her house after a landslide erupted in the area on Wednesday. Her family is taking shelter at a relative’s house in the neighbouring settlement. “We are taking refuge at a relative’s house. We don’t know when the landslides will sweep our house away,” said Gharti. “We have land plots in Patlekhola and Pokhara. But these places are also at risk of landslides. The government should relocate us to safer locations.”Man Bahadur Pun, another local resident, says all the residents of Damri have been affected by the landslides. “There’s no safe location around our village. The school building is also at risk of landslides. And there’s no one to take help from,” Pun said, urging the government authorities to relocate the at-risk settlements to safer places.Around half a dozen villages, including Thulodamri, Sanodamri and Basel, at Damri in Naubahini Rural Municipality Ward No. 5 are at risk of landslides. According to Pun, a dozen families have already fled their village fearing landslides. The landslides have also disrupted electricity supply and drinking water pipelines in Damri. Taj Bahadur Pun, a resident of Damri, says the villagers are without electricity and drinking water for the past few days. “On top of the risk of being swept away, we have to live without electricity and drinking water. We are yet to receive help from the authorities. We have been left in a lurch,” he said.Meanwhile, Ana Bahadur Ghartimagar, chairman of Ward No. 5 of Naubahini Rural Municipality, has underscored the need to relocate 70 households in Damri that are at risk of landslides.“It would cause great destruction if the relocation process is delayed, as the Damri area has been witnessing continuous rainfall for several days,” Ghartimagar said.According to him, the ward office has been collecting details of the destruction and information on the affected families. “We have also requested the rural municipal office for the families’ relocation and distribution of relief,” said Ghartimagar.The residents of Dumri have also been asked to stay on high alert, says Shivaraj Rijal, chairman of Naubahini Rural Municipality.“The rural municipality is yet to receive the details of the destruction. We will conduct a field inspection soon,” he said.","Published at : August 24, 2021",Pyuthan,Shamsher Bikram GC
Multiple landslides leave Damri area at high risk,"Ker Bahadur Thapa of Damri has been restless after a massive landslide erupted just below his house in Naubahini Rural Municipality-5, Pyuthan, on Wednesday. His house has developed cracks and can collapse any moment now. All five members of his family are taking shelter in an animal shed nearby.“It rains almost every day. The threat of landslides is very high. We are terrified that our house will be swept away,” said Thapa. According to him, the landslide swept away around 20 ropanis of his land. “We cannot return home due to fear of landslides and my land is gone. Where should I go now?”Besides Thapa’s house, around 70 other houses of six settlements in the Damri area are at risk of landslides. Daljita Gharti, a resident of Damri, left her house after a landslide erupted in the area on Wednesday. Her family is taking shelter at a relative’s house in the neighbouring settlement. “We are taking refuge at a relative’s house. We don’t know when the landslides will sweep our house away,” said Gharti. “We have land plots in Patlekhola and Pokhara. But these places are also at risk of landslides. The government should relocate us to safer locations.”Man Bahadur Pun, another local resident, says all the residents of Damri have been affected by the landslides. “There’s no safe location around our village. The school building is also at risk of landslides. And there’s no one to take help from,” Pun said, urging the government authorities to relocate the at-risk settlements to safer places.Around half a dozen villages, including Thulodamri, Sanodamri and Basel, at Damri in Naubahini Rural Municipality Ward No. 5 are at risk of landslides. According to Pun, a dozen families have already fled their village fearing landslides. The landslides have also disrupted electricity supply and drinking water pipelines in Damri. Taj Bahadur Pun, a resident of Damri, says the villagers are without electricity and drinking water for the past few days. “On top of the risk of being swept away, we have to live without electricity and drinking water. We are yet to receive help from the authorities. We have been left in a lurch,” he said.Meanwhile, Ana Bahadur Ghartimagar, chairman of Ward No. 5 of Naubahini Rural Municipality, has underscored the need to relocate 70 households in Damri that are at risk of landslides.“It would cause great destruction if the relocation process is delayed, as the Damri area has been witnessing continuous rainfall for several days,” Ghartimagar said.According to him, the ward office has been collecting details of the destruction and information on the affected families. “We have also requested the rural municipal office for the families’ relocation and distribution of relief,” said Ghartimagar.The residents of Dumri have also been asked to stay on high alert, says Shivaraj Rijal, chairman of Naubahini Rural Municipality.“The rural municipality is yet to receive the details of the destruction. We will conduct a field inspection soon,” he said.","Published at : August 22, 2021",Pyuthan,Shamsher Bikram GC
People returning to India despite Covid-19 risks,"Mohan Thapa had returned home to Surkhet in the second week of April after most Indian cities went into lockdown due to a surge in Covid-19 cases. The situation was the same when Thapa reached Nepal. So he remained confined in his home for several months. There was no work to be found but he had to meet his household expenses which he managed by taking a loan from neighbours. With no prospects of income and mounting debt, Thapa decided to return to India although the risk of Covid-19 has still not subsided there.“I stayed in the village for months but I could not find work. I had to borrow money to take care of my expenses. I can’t live on borrowed money for long so I decided to head back to India in search of jobs,” said the 40-year-old, who had reached Jamunaha border point in Banke on his way to India on Thursday. Thapa was accompanied by five of his friends.Like Thapa and his friends, a large number of migrant workers from Lumbini, Karnali and Sudurpaschim provinces have started returning to India in search of jobs. Hundreds of people, mostly youths, enter India through Jumunaha crossing on a daily basis, according to the border police.Purna Khatri, sub-inspector of Area Police Office, Jamunaha, said around 500 to 600 individuals are entering India on a daily basis. “Most of the people are headed to New Delhi, Chandigarh, Gujarat, and Mumbai. They had returned to Nepal some three to four months ago,” Khatri said.Ramesh Dhamala of Banke also returned to India after seeing that there were no employment opportunities at home.“I wanted to stay home during the pandemic. But I have no alternative but to go to India for work,” said Dhamala. “Our government did nothing for people like us. They have left us to fend for ourselves.”Most of the India-bound migrant workers said they were compelled to go to India because there were no job opportunities in Nepal.Jasabir Budha of Dailekh had returned from India in mid-April. He tried to find a job in his home district for months without avail. “I am going to India again for a job because I could not find one in my own country,” he said. A majority of the young population in the hill districts of Lumbini and Karnali provinces go to various Indian cities every year in search of jobs. The movement of people along Jamunaha border has also increased due to the local people of Banke who visit Rupaidiha Bazar for their daily shopping. “The government has not opened the borders officially yet. However, the Jamunaha border is open only for daily shopping,” said Khatri, the sub-inspector at Area Police Office, Jamunaha.Dirgharaj Upadhayay, assistant chief District officer of Banke, said, “The cross-border movement of people at Jamunaha crossing has been relaxed considering the daily needs of the local residents. We have not received an official letter from the government to open the border point.”According to the District Administration Office in Banke, Indian nationals, Nepali workers and employees are allowed to enter into Nepali territory only after conducting health checkups.","Published at : August 21, 2021",Nepalgunj,Rupa Gahatraj
Timber worth millions missing from Kapilvastu community forest,"Over 900 cubic feet of timber logs have been missing from the Shringighat Community Forest area in Banganga Municipality since the last two weeks.Shringighat Community Forest, which covers wards 1, 3, 4 and 5 of Banganga Municipality, is one of the largest community forests in Kapilvastu district.Initially, information about the missing logs was kept hidden by the community forest consumer committee. The incident came to light only after some forest employees disclosed the information.A team of technicians from Motipur Sub Division Forest Office found 939.44 cubic feet of logs missing while tallying the wood cutting records in the field. The record shows that 882 cubic feet of sal logs and 56 cubic feet of Asana, Karman and Kusum logs are missing from the field depot. Those logs were stamped and registered, said forest officials.On March 6, 2020, the Division Forest Office in Kapilvastu had granted permission to the Shringighat Community Forest Consumers Group to cut down 27,508 cubic feet of wood from the community forest.Krishna Gopal Koju and Ganesh Bahadur Singh Thakuri, forest consumers of Banganga Ward No. 4, had received a contract to transport, unload, collect and pile timber at the field depot. On May 28, 2020, the then government ordered forest offices to keep the logs inside the forest until further notice. Then after, works related to transportation and measurement of woods came to a halt.On January 27, the government scrapped the decision and contractors started to transport logs that were cut and recorded from the forest areas to the field depots.Since June, timber logs from the Shringighat Community Forest have been brought to the field depot in Madhuban Dham, a part of Shringighat Community Forest around six kilometres from the northern part of Pawar Community Forest in Arghakhanchi. Forest technicians had then conducted a field measurement of the logs at the field depot.“The timber logs were found missing when the technicians were measuring logs at the field depot,” said Umesh Kumar Shah, assistant forest officer of Motipur Sub Division Forest Office. “The logs might have gone missing while they were being transported to the field depot or inside the forest.”The community forest users’ committee is responsible for managing timber in the forest. However, office bearers of the users’ committee and the individuals responsible for managing timber remained tight-lipped about the stolen timber. After information about the missing logs came to light, the division forest office instructed the forest users’ committee to form a probe committee and investigate the case. A five-member committee headed by Krishna Paudel, the secretary of the forest users’ committee, was formed as per the direction of the forest office. The committee submitted its preliminary report a few days ago stating that logs were stolen from the community forest. But the report does not mention how and from where the logs were stolen. And the report does not state who is responsible for the incident.The forest consumers suspect that the probe committee prepared such an incomplete report to protect the guilty. “The report does not show who was responsible for the missing timber. The case of timber theft will continue unless the guilty are punished,” said a consumer preferring anonymity.As per the valuation of the community forest users’ committee, the stolen logs cost around Rs 700,000 based on its minimum rate fixed while selling the timber to consumers. However, its market price is more than three fold. The community forest users’ committee claims that incidents of timber theft are rife in the district since the government imposed a ban on the collection, transportation and sale of timber from the community forest. Meanwhile, Renu Sen, the chairperson of the community forest consumers’ committee, said, “The contractors who were given responsibility for logging could not complete their work on time. The government later banned the logging and transportation of timber in the community forest. Since the forest guards provide security in the forest area during day time, the timber could have been stolen at night.”","Published at : August 16, 2021",Kapilvastu,Manoj Paudel
KC appointed chief minister of Lumbini,"Kul Prasad KC, the parliamentary party leader of CPN (Maoist Centre), has been appointed as the chief minister of Lumbini Province.Amik Sherchan, the provincial chief of Lumbini, appointed KC as the new chief minister on the basis of Article 168 (2) of the Constitution.KC was elected provincial assembly member from Rolpa Constituency No 1 (A). The provincial chief, Sherchan, had set 3pm on Thursday as the deadline for political parties to stake claim to form the new government.KC took oath of office and secrecy amid a function organised at the office of the provincial chief on Thursday evening. Immediately after assuming his office, KC formed a seven-member Council of Ministers, three from the Janata Samajbadi Party Nepal, one each from Nepali Congress and Maoist Centre and one independent provincial assembly member.Fakaruddin Khan, the chief whip of Nepali Congress, said six provincial assembly members were given responsibility as per the agreement reached among the coalition partners. “There is no problem in the ruling alliance. The Cabinet will be expanded after the chief minister gets a vote of confidence,” said Khan. In the 87-member provincial assembly, which now has 80 members, the alliance controls 42 seats while the UML has 37.KC became the chief minister with the support of Nepali Congress, CPN (Maoist Centre), Janata Samajbadi Party and Rastriya Janamorcha. He also had the support of independent provincial assembly member Ajaya Shahi, who was included in KC’s Cabinet on Thursday. According to KC, the Maoist Centre and the Nepali Congress have reached a gentleman’s agreement to lead the provincial government in rotation of eight months each while including the Samajbadi Party in the government. “Rastriya Janamorcha will not be a part of the government but will extend its support to the new government,” said KC. After falling into minority, Shanker Pokhrel of CPN-UML on Wednesday resigned as the chief minister of Lumbini Province. Ahead of the provincial assembly session where opposition parties were set to discuss a vote of confidence against him, Pokhrel put in his papers before Sherchan.Earlier too, Pokhrel had faced a similar political crisis but was later re-elected as chief minister on May 2.With KC’s appointment as the chief minister of Lumbini, the Maoist Centre now leads the government in three provinces including Karnali and Sudurpaschim provinces.(Amrita Anmol contributed reporting from Butwal)","Published at : August 13, 2021",Rupandehi,Ghanashyam Gautam
